"ALL ",000005534,"BRANCH", 0000000000000.00,"                              ","BRANDWAG                              ",000000,000.00
"    ",370223659,"ACC-NO", 0000000000000.00,"                              ","RUWACON PTY LTD                       ",000000,000.00
"0943",020241213,"OPEN  ",+0000019032106.67,"                              ","OPEN BALANCE                          ",000000,000.00
"0943",020241213,"ACB   ",+0000000001016.62,"CREDIT TRANSFER               ","PIONEER 22221566916                   ",006088,000.00
"0943",020241213,"ACB   ",+0000005000000.00,"CREDIT TRANSFER               ","CASHFOCUS 380000 RWC ABSA             ",006088,000.00
"0943",020241213,"ACB   ",+0000005000000.00,"CREDIT TRANSFER               ","CASHFOCUS 380000 RWC ABSA             ",006088,000.00
"0943",020241213,"ACB   ",+0000005000000.00,"CREDIT TRANSFER               ","CASHFOCUS 380000 RWC ABSA             ",006088,000.00
"0943",020241213,"ACB   ",+0000005000000.00,"CREDIT TRANSFER               ","CASHFOCUS 380000 RWC ABSA             ",006088,000.00
"0943",020241213,"ACB   ",+0000005000000.00,"CREDIT TRANSFER               ","CASHFOCUS 380000 RWC ABSA             ",006088,000.00
"0943",020241213,"ACB   ",+0000001123643.82,"MAGTAPE CREDIT                ","COCT VEN   0000028904-                ",001000,000.00
"0943",020241213,"ACB   ",+0000005000000.00,"CREDIT TRANSFER               ","CASHFOCUS 380000 RWC ABSA             ",006088,000.00
"0943",020241213,"ACB   ",+0000005000000.00,"CREDIT TRANSFER               ","CASHFOCUS 380000 RWC ABSA             ",006088,000.00
"0943",020241213,"ACB   ",+0000005000000.00,"CREDIT TRANSFER               ","CASHFOCUS 380000 RWC ABSA             ",006088,000.00
"0943",020241213,"ACB   ",+0000005000000.00,"CREDIT TRANSFER               ","CASHFOCUS 380000 RWC ABSA             ",006088,000.00
"0943",020241213,"ACB   ",+0000000000500.00,"MAGTAPE CREDIT                ","MARIA LAPTOP                          ",001000,000.00
"0943",020241213,"ACB   ",+0000000899300.00,"CREDIT TRANSFER               ","12341                                 ",006088,000.00
"0943",020241213,"TRFR  ",+0000000000403.65,"REAL TIME TRANSFER FROM       ","CAPITEC    DUKATHOLE                  ",001581,000.00
"0943",020241213,"TRFR  ",+0000001000000.00,"REAL TIME TRANSFER FROM       ","ABSA       380000 RWC ABSA            ",001581,000.00
"0943",020241213,"TRFR  ",+0000005000000.00,"REAL TIME TRANSFER FROM       ","ABSA       380000 RWC ABSA            ",001581,000.00
"0943",020241213,"TRFR  ",+0000005000000.00,"REAL TIME TRANSFER FROM       ","ABSA       380000 RWC ABSA            ",001581,000.00
"0943",020241213,"TRFR  ",+0000005000000.00,"REAL TIME TRANSFER FROM       ","ABSA       380000 RWC ABSA            ",001581,000.00
"0943",020241213,"TRFR  ",+0000007157659.81,"INTERBANK CREDIT TRANSFER     ","12335                                 ",000416,000.00
"0943",020241213,"TRFR  ",+0000007854860.74,"INTERBANK CREDIT TRANSFER     ","12267                                 ",000416,000.00
"0943",020241213,"TRFR  ",+0000011120082.01,"INTERBANK CREDIT TRANSFER     ","SPU 12287                             ",000416,000.00
"0943",020241213,"TRFR  ",+0000015203994.36,"INTERBANK CREDIT TRANSFER     ","SPU                                   ",000416,000.00
"0943",020241213,"TRFR  ",+0000034001556.05,"INTERBANK CREDIT TRANSFER     ","SPU                                   ",000416,000.00
"0943",020241213,"PAY   ",-0000000000560.27,"ELECTRONIC BANKING PAYMENT TO ","SB617 SB6172 BATHO  NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000000712.51,"ELECTRONIC BANKING PAYMENT TO ","CJ707 CJ7071 JANKEN NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000000800.00,"ELECTRONIC BANKING PAYMENT TO ","17229 172296 JH LAU NHU2312:37        ",000509,000.00
"0943",020241213,"PAY   ",-0000000000825.41,"ELECTRONIC BANKING PAYMENT TO ","CR506 CR5061 RED AL NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000001506.05,"ELECTRONIC BANKING PAYMENT TO ","SC617 SC6172 CHAUKE ZCX8314:21        ",000509,000.00
"0943",020241213,"PAY   ",-0000000001676.12,"ELECTRONIC BANKING PAYMENT TO ","SC612 SC6125 CUMAX  NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000001839.27,"ELECTRONIC BANKING PAYMENT TO ","SF607 SF6073 FARLOW ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000002185.00,"ELECTRONIC BANKING PAYMENT TO ","SN610 SN6108 NGOMSO NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000002359.76,"ELECTRONIC BANKING PAYMENT TO ","SJ608 SJ6084 JH PRO ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000002468.72,"ELECTRONIC BANKING PAYMENT TO ","SR611 SR6117 RIBYE  NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000002663.46,"ELECTRONIC BANKING PAYMENT TO ","SM626 SM6261 MME BA ZCX8314:23        ",000509,000.00
